Steel Type,Chemical Composition (%),Heat Treatment,Test Temp (°C),Grain Size (µm),Phases,Dislocation Density (m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),Strain Hardening Exponent (n),"Strain Hardening Coefficient (K, MPa)"
Duplex,"Cr:22.3, Ni:5.7, Mo:3.0",Solution Annealed @ 1050°C,150,10.3,Ferrite + σ,1.10E+14,460,687,298,24.8,0.0005,0.24,1129
Duplex,"Cr:21.7, Ni:5.6, Mo:3.2",Quenched & Aged @ 600°C,300,8.7,Ferrite + σ,1.20E+14,458,698,275,18.3,0.001,0.2,1097
Duplex,"Cr:22.1, Ni:5.7, Mo:3.3",Aged @ 650°C,25,11.8,Austenite + Ferrite,1.30E+14,467,653,286,,0.0005,0.22,1084
Duplex,"Cr:22.2, Ni:5.4, Mo:2.9",Annealed,300,,Ferrite + σ,1.40E+14,455,675,304,16.3,0.001,0.19,1135
Duplex,"Cr:22.1, Ni:5.3, Mo:2.8",Quenched & Aged @ 600°C,300,7.4,Ferrite + Austenite,1.00E+14,458,652,289,22.8,0.0005,0.25,1108
Duplex,"Cr:22.0, Ni:5.4, Mo:3.3",Aged @ 700°C,300,8.3,Ferrite + σ,1.40E+14,506,,303,25.7,0.0005,0.24,1058
Duplex,"Cr:21.9, Ni:5.6, Mo:3.1",Annealed,150,11.4,Ferrite + σ,,446,673,280,17.8,0.0005,0.24,1065
Duplex,"Cr:22.3, Ni:5.8, Mo:2.9",Aged @ 700°C,200,,Ferrite + Austenite,1.30E+14,450,,,21.4,0.0005,0.23,1027
Duplex,"Cr:22.0, Ni:5.6, Mo:3.3",Quenched,350,6.4,Ferrite + σ,1.20E+14,405,727,,24.9,0.0005,0.25,1138
Duplex,"Cr:22.1, Ni:5.3, Mo:2.9",Solution Annealed @ 1050°C,300,11.6,Ferrite + σ,1.00E+14,430,675,283,25.8,0.0005,0.25,
Duplex,"Cr:21.8, Ni:5.6, Mo:3.3",Solution Annealed @ 1050°C,200,6.8,Austenite + Ferrite,1.30E+14,475,709,269,22,0.001,0.21,1028
Duplex,"Cr:21.7, Ni:5.2, Mo:3.2",Annealed @1020°C,350,,Ferrite dominant,1.20E+14,460,742,266,18.2,0.0005,,1122
Duplex,"Cr:22.0, Ni:5.3, Mo:3.1",Aged @ 650°C,25,7.9,Ferrite + Austenite,1.00E+14,470,747,293,21.1,0.001,0.22,1184
Duplex,"Cr:22.0, Ni:5.7, Mo:2.9",Aged @ 700°C,300,10.4,Ferrite + σ,1.20E+14,419,,,17,0.001,0.21,1084
Duplex,"Cr:21.9, Ni:5.7, Mo:3.3",Aged @ 650°C,25,9.6,Ferrite + Austenite,9.80E+13,508,744,277,24.1,0.001,0.22,1007
Duplex,"Cr:22.1, Ni:5.4, Mo:2.9",Solution Annealed @ 1050°C,150,9.4,Ferrite + Austenite,1.30E+14,411,705,289,19.7,0.001,0.17,1012
Duplex,"Cr:21.9, Ni:5.6, Mo:3.0",Aged @ 650°C,300,10.5,Ferrite dominant,9.60E+13,475,,285,16.5,0.001,0.23,
Duplex,"Cr:22.1, Ni:5.3, Mo:2.9",Annealed,150,11,Austenite + Ferrite,1.10E+14,,669,296,20,0.0005,0.16,1158
Duplex,"Cr:22.1, Ni:5.4, Mo:3.0",Solution Annealed @ 1050°C,150,,Ferrite + σ,1.30E+14,499,780,293,25.1,0.001,0.17,1154
Duplex,"Cr:22.2, Ni:5.2, Mo:3.3",Annealed,300,9.4,Ferrite + σ,1.30E+14,419,770,279,21.9,0.001,,
Duplex,"Cr:22.2, Ni:5.7, Mo:3.1",Quenched & Aged @ 600°C,300,9.3,Austenite + Ferrite,1.10E+14,483,771,263,24.1,0.001,0.18,1112
Duplex,"Cr:22.0, Ni:5.6, Mo:2.9",Quenched,300,8,Ferrite + σ,,486,714,302,22,0.001,0.17,1167
Duplex,"Cr:21.9, Ni:5.6, Mo:3.3",Quenched,350,10.7,Austenite + Ferrite,1.20E+14,,729,273,23.7,0.001,0.19,1129
Duplex,"Cr:22.2, Ni:5.7, Mo:2.7",Quenched,350,8.3,Ferrite + Austenite,,446,710,299,23.5,0.001,0.23,1049
Duplex,"Cr:22.3, Ni:5.8, Mo:3.0",Quenched,300,8.5,Ferrite + Austenite,1.30E+14,,773,295,23.1,0.001,0.23,1131
Duplex,"Cr:22.0, Ni:5.8, Mo:2.8",Aged @ 650°C,200,8.5,Ferrite + σ,1.00E+14,447,731,305,23.9,0.0005,0.2,1194
